id_key,tdu_company_name,rep_company,product,kwh500,kwh1000,kwh2000,fees_credits,pre_paid,time_of_use,fixed,rate_type,renewable,term_value,cancel_fee,website,special_terms,terms_url,promotion,promotion_desc,facts_url,enroll_url,prepaid_url,enroll_phone,new_customer,min_usage_fees_credits,language,rating,zipcodes,pdf_filepath
2667,AEP TEXAS CENTRAL COMPANY,TRIEAGLE ENERGY LP,Eagle 12,0.11599999999999999,0.111,0.10800000000000001,,False,False,1.0,Fixed,6.0,12.0,20.00 per month left in term,,"Check out the fine print! We have NO monthly minimums, NO extra AMS meter charges, and NO gimmicks or gotchas.  Rest Easy - TriEagle will never sell your private AMS usage history to any third parties. TriEagle now offers weekly usage e-mails, see PrimeTime for more details!",http://www.trieagleenergy.com/Docs/TOS/TX/TOS.pdf,False,,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-12mo.pdf,,,,False,False,,2.0,[],data\PDFs\2667-062520-00-55-17.pdf
2857,AEP TEXAS CENTRAL COMPANY,SOUTHWEST POWER & LIGHT,Plant-A-Tree Month to Month AutoPay E-Plan,0.139,0.115,0.113,"$9.95 for usage less than 1,000 kWh",False,False,0.0,Variable,16.0,1.0,0.00,," Every kilowatt hour you use goes toward planting a tree through the Arbor Day Foundation.  Improves our forest, rivers and wildlife while meeting your energy needs.  Sign-up today and protect Texas tomorrow!  Go to www.SouthwestPowerandLight.com.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRCPLPROMOTREE&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRCPLPROMOTREE&lang=en,,,,True,True,,4.0,[],data\PDFs\2857-062520-00-55-17.pdf
3079,AEP TEXAS CENTRAL COMPANY,TRIEAGLE ENERGY LP,Green Eagle 12,0.11800000000000001,0.113,0.11,,False,False,1.0,Fixed,100.0,12.0,20.00 per month left in term,,"Check out the fine print! We have NO monthly minimums, NO extra AMS meter charges, and NO gimmicks or gotchas.  Rest Easy - TriEagle will never sell your private AMS usage history to any third parties. TriEagle now offers weekly usage e-mails, see PrimeTime for more details!",http://www.trieagleenergy.com/Docs/TOS/TX/TOS.pdf,False,,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-G-12mo.pdf,,,,False,False,,2.0,[],data\PDFs\3079-062520-00-55-18.pdf
3197,AEP TEXAS CENTRAL COMPANY,TRIEAGLE ENERGY LP,Eagle 36,0.113,0.10800000000000001,0.105,,False,False,1.0,Fixed,6.0,36.0,20.00 per month left in term,,"Check out the fine print! We have NO monthly minimums, NO extra AMS meter charges, and NO gimmicks or gotchas.  Rest Easy - TriEagle will never sell your private AMS usage history to any third parties. TriEagle now offers weekly usage e-mails, see PrimeTime for more details!",http://www.trieagleenergy.com/Docs/TOS/TX/TOS.pdf,False,,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-36mo.pdf,,,,False,False,,2.0,[],data\PDFs\3197-062520-00-55-18.pdf
4115,AEP TEXAS CENTRAL COMPANY,YEP,Your Energy Plan Fixed Rate Autopay E-Plan,0.127,0.10300000000000001,0.10099999999999999,"$9.95 for usage less than 1,000 kWh",False,False,1.0,Fixed,16.0,36.0,175.00,,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLF36&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLF36&lang=en,,,,False,True,,4.0,[],data\PDFs\4115-062520-00-55-18.pdf
4125,AEP TEXAS CENTRAL COMPANY,YEP,Operation USO Support Our Troops Month to Month AutoPay E-Plan,0.14,0.11599999999999999,0.114,"$9.95 for usage less than 1,000 kWh",False,False,0.0,Variable,16.0,1.0,0.00,,"YEP has partnered with the USO to enable you to directly support our troops and their families, both abroad and domestically. For every 1000 kilowatt hours you consume under YEP's Operation USO Support Our Troops AutoPay E-Plan, a contribution of $3 will be made by YEP to the USO's Warrior and Family Care Program.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLUSOPROMO&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLUSOPROMO&lang=en,,,,True,True,,4.0,[],data\PDFs\4125-062520-00-55-18.pdf
11115,AEP TEXAS CENTRAL COMPANY,TXU ENERGY,Saver's Deal 12,0.163,0.149,0.109,"A $30 bill credit will be applied for each billing cycle in which usage is 1,200 kWh or more.",False,False,1.0,Fixed,6.0,12.0,150.00,,Get a great low rate that doesn’t change with the seasons and guaranteed price protection for 12 months. TXU Energy Saver's Deal 12SM is a fixed rate plan that has a minimum term of 12 months and an early cancellation fee of $150. The only circumstance in which the price could change during the 12-month minimum term is to reflect actual changes in law or regulatory charges as described in the Electricity Facts Label (EFL). See the Terms of Service Agreement and Electricity Facts Label for more details. This is an online only offer available to new customers.,https://www.txu.com/~/media/Files/Marketing/Residential/Other-PDFs/TOSA.pdf,False,,https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TCX30SAVDL12AR&lang=en&formType=EnergyFactsLabel&custClass=3&tdsp=ER_AEPTCC,,,,True,True,,5.0,[],data\PDFs\11115-062520-00-55-18.pdf
11372,AEP TEXAS CENTRAL COMPANY,TRIEAGLE ENERGY LP,Eagle 24,0.115,0.11,0.107,,False,False,1.0,Fixed,6.0,24.0,20.00 per month left in term,,"Check out the fine print! We have NO monthly minimums, NO extra AMS meter charges, and NO gimmicks or gotchas. Rest Easy - TriEagle will never sell your private AMS usage history to any third parties. TriEagle now offers weekly usage e-mails, see PrimeTime for more details!",http://www.trieagleenergy.com/Docs/TOS/TX/TOS.pdf,False,,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-24mo.pdf,,,,False,False,,2.0,[],data\PDFs\11372-062520-00-55-19.pdf
11536,AEP TEXAS CENTRAL COMPANY,INFUSE ENERGY LLC,PTC Infusion Flex,0.11599999999999999,0.111,0.109,$4.95 fee if usage is under 500 kWh in a billing period.,False,False,0.0,Variable,19.0,1.0,0.00,,"Affordable, hassle-free energy from Infuse Energy, the company that has your back. Offer only available for new Infuse Energy customers. This plan is not eligible to be used in conjunction with any referral or promotional codes.",http://dba4d476800d46d49629-8921003a898874cc7b56a2d8016f01f6.r82.cf5.rackcdn.com/Base/TOS-Base-20180913-000000-English%20(Resi%20+%20Sm%20Comm).pdf,False,,https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/202006/EFL-20200624-002706-AEPS-PTC Infusion Flex (English).pdf,,,,True,True,,4.0,[],data\PDFs\11536-062520-00-55-19.pdf
11618,AEP TEXAS CENTRAL COMPANY,INFUSE ENERGY LLC,PTC Green Infusion Flex,0.11699999999999999,0.11199999999999999,0.11,$4.95 fee if usage is under 500 kWh in a billing period.,False,False,0.0,Variable,100.0,1.0,0.00,,"100% green energy from Infuse Energy, the company that has your back. Offer only available for new Infuse Energy customers. This plan is not eligible to be used in conjunction with any referral or promotional codes.",http://dba4d476800d46d49629-8921003a898874cc7b56a2d8016f01f6.r82.cf5.rackcdn.com/Base/TOS-Base-20180913-000000-English%20(Resi%20+%20Sm%20Comm).pdf,False,,https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/202006/EFL-20200624-002706-AEPS-PTC Green Infusion Flex (English).pdf,,,,True,True,,4.0,[],data\PDFs\11618-062520-00-55-19.pdf
11677,AEP TEXAS CENTRAL COMPANY,CIRRO ENERGY,Smart Simple 36,0.105,0.1,0.098,,False,False,1.0,Fixed,12.0,36.0,250.00,,"Paperless eBill and Bill Alert Options ::: 24/7 Local Customer Service ::: NO FEES for VISA, DISCOVER & MC::: Easy Online Account Access ::: This offer is for new customers only",https://www.cirroenergy.com/files/0901751880b58ee7.pdf,False,,https://www.cirroenergy.com/files/090175188264085c.pdf,,,,True,False,,3.0,[],data\PDFs\11677-062520-00-55-20.pdf
11682,AEP TEXAS CENTRAL COMPANY,CIRRO ENERGY,Smart Simple 12,0.11900000000000001,0.115,0.113,,False,False,1.0,Fixed,12.0,12.0,150.00,,"Paperless eBill and Bill Alert Options ::: 24/7 Local Customer Service ::: NO FEES for VISA, DISCOVER & MC::: Easy Online Account Access ::: This offer is for new customers only",https://www.cirroenergy.com/files/0901751880b58ee7.pdf,False,,https://www.cirroenergy.com/files/090175188263e81b.pdf,,,,True,False,,3.0,[],data\PDFs\11682-062520-00-55-20.pdf
12052,AEP TEXAS CENTRAL COMPANY,INFINITE ENERGY,12 Month Simple Plan,0.11599999999999999,0.111,0.109,,False,False,1.0,Fixed,4.0,12.0,150.00,,"Call (877) 928-8766 to talk with a real U.S.-based Customer Care representative, Monday through Friday from 7 a.m. to 6 p.m. CST. Or sign up online at InfiniteEnergy.com.",https://api.infiniteenergy.com/enrollments/pdf/IE/terms-of-service?languagePreference=en_US,False,,https://api.infiniteenergy.com/enrollments/pdf/electricity-facts-label?businessEntityAliasId=2&ldcName=AEPC&rateDescriptor=12-Month%20Simple&promoCode=PTC,,,,False,False,,4.0,[],data\PDFs\12052-062520-00-55-20.pdf
12294,AEP TEXAS CENTRAL COMPANY,INFUSE ENERGY LLC,Keep It Simple Savings Flex,0.12,0.11199999999999999,0.10800000000000001,,False,False,0.0,Variable,19.0,1.0,0.00,,"Affordable, hassle-free energy from Infuse Energy, the company that has your back. Offer only available for new Infuse Energy customers. This plan is not eligible to be used in conjunction with any referral or promotional codes.",http://dba4d476800d46d49629-8921003a898874cc7b56a2d8016f01f6.r82.cf5.rackcdn.com/Base/TOS-Base-20180913-000000-English%20(Resi%20+%20Sm%20Comm).pdf,False,,https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/202006/EFL-20200624-002706-AEPS-Keep It Simple Savings Flex (English).pdf,,,,True,False,,4.0,[],data\PDFs\12294-062520-00-55-20.pdf
12303,AEP TEXAS CENTRAL COMPANY,INFUSE ENERGY LLC,Keep It Simple Savings Green Flex,0.121,0.113,0.109,,False,False,0.0,Variable,100.0,1.0,0.00,,"100% green energy from Infuse Energy, the company that has your back. Offer only available for new Infuse Energy customers. This plan is not eligible to be used in conjunction with any referral or promotional codes.",http://dba4d476800d46d49629-8921003a898874cc7b56a2d8016f01f6.r82.cf5.rackcdn.com/Base/TOS-Base-20180913-000000-English%20(Resi%20+%20Sm%20Comm).pdf,False,,https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/202006/EFL-20200624-002706-AEPS-Keep It Simple Savings Green Flex (English).pdf,,,,True,False,,4.0,[],data\PDFs\12303-062520-00-55-20.pdf
12406,AEP TEXAS CENTRAL COMPANY,CONSTELLATION NEWENERGY INC,12 Month Usage Bill Credit ,0.13699999999999998,0.09699999999999999,0.105,Constellation will automatically apply a $35 bill credit to your invoice for each billing cycle where usage is at least 1000 kWh. An additional $15 bill credit will be applied when usage reaches 2000 kWh,False,False,1.0,Fixed,16.0,12.0,50.00,,,https://www.constellation.com/bin/residential/Terms_TX?versionNum=01HFN,False,,https://www.constellation.com/bin/residential/Terms_TX?versionNum=01Y2P,,,,False,True,,3.0,[],data\PDFs\12406-062520-00-55-20.pdf
12407,AEP TEXAS CENTRAL COMPANY,CONSTELLATION NEWENERGY INC,12 Month,0.128,0.11900000000000001,0.114,,False,False,1.0,Fixed,16.0,12.0,50.00,,,https://www.constellation.com/bin/residential/Terms_TX?versionNum=01HK1,False,,https://www.constellation.com/bin/residential/Terms_TX?versionNum=01X7Q,,,,False,False,,3.0,[],data\PDFs\12407-062520-00-55-20.pdf
12471,AEP TEXAS CENTRAL COMPANY,4CHANGE ENERGY,Power Saver 24,0.106,0.10099999999999999,0.099,,False,False,1.0,Fixed,6.0,24.0,20 per month remaining,,,https://www.4changeenergy.com/Docs/TOSA_4ChangeEnergy.pdf,False,,https://www.4changeenergy.com/Docs/efl_powsvb24hac_a.pdf,,,,True,False,,1.0,[],None
12889,AEP TEXAS CENTRAL COMPANY,SOUTHWEST POWER & LIGHT,Texas Saver Fixed Rate Autopay E-Plan,0.109,0.102,0.098,,False,False,1.0,Fixed,16.0,12.0,175.00,,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Southwest’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRCPLF12PTC&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRCPLF12PTC&lang=en,,,,False,False,,4.0,[],data\PDFs\12889-062520-00-55-21.pdf
12998,AEP TEXAS CENTRAL COMPANY,SOUTHWEST POWER & LIGHT,Texas Saver Fixed Rate Autopay E-Plan,0.11199999999999999,0.105,0.10099999999999999,,False,False,1.0,Fixed,16.0,9.0,175.00,,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Southwest’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRCPLF9PTC&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRCPLF9PTC&lang=en,,,,False,False,,4.0,[],data\PDFs\12998-062520-00-55-21.pdf
13005,AEP TEXAS CENTRAL COMPANY,SOUTHWEST POWER & LIGHT,18 Month Spirit Of Texas Fixed Rate AutoPay E-Plan,0.11699999999999999,0.11,0.106,,False,False,1.0,Fixed,16.0,18.0,175.00,,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Southwest’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRCPLF18PTC&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRCPLF18PTC&lang=en,,,,False,False,,4.0,[],data\PDFs\13005-062520-00-55-21.pdf
13013,AEP TEXAS CENTRAL COMPANY,SOUTHWEST POWER & LIGHT,Texas Saver Fixed Rate Autopay E-Plan,0.11,0.10300000000000001,0.099,,False,False,1.0,Fixed,16.0,24.0,175.00,,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Southwest’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRCPLF24PTC&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRCPLF24PTC&lang=en,,,,False,False,,4.0,[],data\PDFs\13013-062520-00-55-22.pdf
13021,AEP TEXAS CENTRAL COMPANY,SOUTHWEST POWER & LIGHT,Texas Saver Fixed Rate Autopay E-Plan,0.11,0.10300000000000001,0.099,,False,False,1.0,Fixed,16.0,36.0,175.00,,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Southwest’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRCPLF36PTC&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRCPLF36PTC&lang=en,,,,False,False,,4.0,[],data\PDFs\13021-062520-00-55-22.pdf
13318,AEP TEXAS CENTRAL COMPANY,MIDAMERICAN ENERGY SERVICES LLC,Fixed Generation Supply,0.11599999999999999,0.111,0.109,,False,False,1.0,Fixed,17.0,12.0,20.00 per month left in term,,,https://www.midamericanenergyservices.com/ResidentialSmallBusiness/GetDocument?programId=2977&planId=5895&typeId=3,False,,https://www.midamericanenergyservices.com/ResidentialSmallBusiness/GetDocument?programId=2977&planId=5895&typeId=1,,,,False,False,,5.0,[],data\PDFs\13318-062520-00-55-22.pdf
13321,AEP TEXAS CENTRAL COMPANY,MIDAMERICAN ENERGY SERVICES LLC,Fixed Generation Supply,0.114,0.11,0.10800000000000001,,False,False,1.0,Fixed,17.0,24.0,20.00 per month left in term,,,https://www.midamericanenergyservices.com/ResidentialSmallBusiness/GetDocument?programId=2977&planId=5896&typeId=3,False,,https://www.midamericanenergyservices.com/ResidentialSmallBusiness/GetDocument?programId=2977&planId=5896&typeId=1,,,,False,False,,5.0,[],data\PDFs\13321-062520-00-55-22.pdf
13148,AEP TEXAS CENTRAL COMPANY,THINK ENERGY,THINK SIMPLE 12 POWER TO CHOOSE ONLINE EXCLUSIVE,0.111,0.107,0.105,,False,False,1.0,Fixed,6.0,12.0,150.00,,THINK SIMPLE 12 Online Enrollment Special - NO HIDDEN FEES - NO MONTHLY FEES - NO TIERED USAGE OR OTHER TRICKS - We are BBB rated A+ and a 4-Star Company on TrustPilot. Click History link under star rating to review and compare complaint history.  This online offer is only available for new customers who enroll through the Power to Choose website.,https://www.mythinkenergy.com/signup/PDFTemplates/contract_api/index.php/contract/TC/state/TX/customer_type/RESI/service/Electric/plan_code/FP10,False,,https://www.mythinkenergy.com/signup/includes/eflptc.php?utility=AEP_TCC&term=12&ZipCode=77414&promocode=tx2ss4qd,,,,True,False,,2.0,[],data\PDFs\13148-062520-00-55-23.pdf
13150,AEP TEXAS CENTRAL COMPANY,THINK ENERGY,THINK SIMPLE 24 POWER TO CHOOSE ONLINE EXCLUSIVE,0.10800000000000001,0.10400000000000001,0.102,,False,False,1.0,Fixed,6.0,24.0,175.00,,THINK SIMPLE 24 Online Enrollment Special - NO HIDDEN FEES - NO MONTHLY FEES - NO TIERED USAGE OR OTHER TRICKS - We are BBB rated A+ and a 4-Star Company on TrustPilot. Click History link under star rating to review and compare complaint history.  This online offer is only available for new customers who enroll through the Power to Choose website.,https://www.mythinkenergy.com/signup/PDFTemplates/contract_api/index.php/contract/TC/state/TX/customer_type/RESI/service/Electric/plan_code/FP10,False,,https://www.mythinkenergy.com/signup/includes/eflptc.php?utility=AEP_TCC&term=24&ZipCode=77414&promocode=tx2ss4qd,,,,True,False,,2.0,[],None
15958,AEP TEXAS CENTRAL COMPANY,SOUTHWEST POWER & LIGHT,Texas Saver Month to Month Autopay E-Plan,0.121,0.114,0.11,,False,False,0.0,Variable,16.0,1.0,0.00,,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Southwest’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRCPLPROMOPTC&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRCPLPROMOPTC&lang=en,,,,True,False,,4.0,[],data\PDFs\15958-062520-00-55-24.pdf
15954,AEP TEXAS CENTRAL COMPANY,YEP,YEP Saver Month to Month Autopay E-Plan,0.121,0.114,0.11,,False,False,0.0,Variable,16.0,1.0,0.00,,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in YEP’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLPROMOPTC&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLPROMOPTC&lang=en,,,,True,False,,4.0,[],data\PDFs\15954-062520-00-55-24.pdf
16141,AEP TEXAS CENTRAL COMPANY,Express Energy,Quick 12 🏃,0.15,0.075,0.139,Tiered Plan,False,False,1.0,Fixed,6.0,12.0,20 per month remaining,,"No Frills. Low Bills. Fixed price for 12 months, low bills and low cancellation fee. Easy 24/7 access to your account Online.",https://www.myexpressenergy.com/Docs/TOSA_ExpressEnergy.pdf,False,,https://www.myexpressenergy.com/viewpdf.aspx/?Docs/efl_quikva12hab_a.pdf,,,,True,True,,1.0,[],None
16429,AEP TEXAS CENTRAL COMPANY,AMBIT ENERGY,Lone Star Classic 12,0.15,0.136,0.129,,False,False,1.0,Fixed,15.0,12.0,199.00,,A monthly E-Plan credit is available for this product by successfully enrolling in Ambit Energy’s Paperless Billing and Automatic Payment programs when you sign up for new service. See Electricity Facts Label for discount information and enrollment requirements.,https://mediaserver.ambitenergy.com/media/get/TexasTermsOfService,False,,https://mediaserver.ambitenergy.com/media/get/TXUNBUNDLED_12ENR1660_288_1/EN,,,,False,False,,3.0,[],data\PDFs\16429-062520-00-55-24.pdf
